"","facebook_S_alphas","facebook_S_gammas","facebook_S_scales","facebook_S_shapes","newsletter_alphas","newsletter_gammas","newsletter_scales","newsletter_shapes","ooh_S_alphas","ooh_S_gammas","ooh_S_scales","ooh_S_shapes","print_S_alphas","print_S_gammas","print_S_scales","print_S_shapes","search_S_alphas","search_S_gammas","search_S_scales","search_S_shapes","tv_S_alphas","tv_S_gammas","tv_S_scales","tv_S_shapes","train_size","rsq_train","rsq_val","rsq_test","nrmse_train","nrmse_val","nrmse_test","nrmse","decomp.rssd","mape","lambda","lambda_hp","lambda_max","lambda_min_ratio","pos","Elapsed","ElapsedAccum","solID","trial","iterNG","iterPar","iterations","coef0","mape.qt10","robynPareto","error_score","cluster","top_sol"
"35",2.71581,0.8069876,0.0542851,0.78875,1.5184675,0.831699,0.0224384,0.983074,0.55677175,0.3360871,0.0245819,1.491874,2.739495,0.8483891,0.00231435,1.462852,2.3528075,0.7923254,0.0689798,1.237432,2.01538,0.6526544,0.0050819,1.066796,0.6441581,0.930344817992509,0.776936117772512,0.952302379150952,0.060559884687629,0.575013411788216,0.316164756857661,0.575013411788216,0.0348984356862351,0,101249.177292063,0.00144638,65481090.2533626,1e-04,1,0.16438102722168,339.156298160553,"1_276_7",1,276,7,1932,FALSE,TRUE,1,0.0153181590212766,4,FALSE
"36",2.8296425,0.7412933,0.0630906,1.011636,1.683055,0.9342455,0.0115175,1.407416,0.54851875,0.33728865,0.0223753,1.50773,2.76999,0.8419232,0.0211244,1.611234,1.9770725,0.9170773,0.0785393,1.20858,2.075655,0.6417113,0.00518002,0.903744,0.6441665,0.925880732840996,0.778722299458511,0.943602292678361,0.0624703418069819,0.572706577601458,0.34379204499551,0.572706577601458,0.0537608457182441,0,101068.467555744,0.00144362,65481090.2533626,1e-04,1,0.156175136566162,339.366633176804,"1_277_1",1,277,1,1933,FALSE,TRUE,2,0.0201416972199036,4,FALSE
"37",2.7831075,0.7064851,0.0229637,0.909014,1.82488,0.9772059,0.00564003,1.427328,0.52223245,0.4337098,0.0322038,1.51068,2.8317375,0.9082272,0.00210932,1.542968,0.8958525,0.9627908,0.0857041,1.154692,2.11357,0.6345314,0.0058051,0.87692,0.6478235,0.92203219462268,0.792445895284624,0.958323675237579,0.0639225275055189,0.55759688422611,0.280026120830364,0.55759688422611,0.106138717007488,0,149473.141817631,0.00218291,65481090.2533626,1e-04,1,0.17845606803894,339.997291088104,"1_277_4",1,277,4,1936,FALSE,TRUE,3,0.0224998788777142,5,FALSE
"38",2.935665,0.7936204,0.0262438,1.128744,1.6929275,0.9562829,0.00673206,1.152998,0.5459045,0.36393373,0.0262757,1.506612,2.74871,0.8462639,0.0262228,1.599506,1.6569775,0.9327636,0.0794874,1.182012,2.0699,0.6460562,0.00587895,0.904282,0.6486467,0.914249829041061,0.784676787897035,0.954182212336119,0.0670368780946255,0.567936917405448,0.293610035141325,0.567936917405448,0.0687655106524308,0,168520.995618262,0.00247383,65481090.2533626,1e-04,1,0.156564950942993,340.668178081512,"1_278_1",1,278,1,1940,FALSE,TRUE,3,0.0170343752129868,5,FALSE
"39",2.86855,0.8428136,0.0452664,0.602724,1.71673,0.9684944,0.00726667,1.42477,0.52825325,0.4062523,0.0279457,1.507068,2.8098175,0.8827969,0.00683894,1.454634,1.4062325,0.9291495,0.0800857,1.215098,2.088245,0.6407537,0.00642907,0.93933,0.6432275,0.919971744364648,0.782802994907255,0.942575102264362,0.0649127486584624,0.576480406686739,0.328502279973609,0.576480406686739,0.0550891278023734,0,137885.457348927,0.00200593,65481090.2533626,1e-04,1,0.149399042129517,341.323846101761,"1_278_5",1,278,5,1944,FALSE,TRUE,3,0.0186106028973184,3,FALSE
"40",2.8925025,0.874623,0.0607842,0.823032,1.4262025,0.8457389,0.0299172,0.925292,0.57020575,0.34891222,0.0238548,1.488076,2.7579875,0.881882,0.0218354,1.383764,1.9704125,0.8643134,0.0740098,1.227264,2.0517075,0.6420179,0.00461531,1.057388,0.6423995,0.924852011790867,0.775589355646091,0.950767508608181,0.0629023691731963,0.585975369113583,0.30416846053723,0.585975369113583,0.0212356850643007,0,108710.00136941,0.00156033,65481090.2533626,1e-04,1,0.178112030029297,343.444257259369,"1_279_7",1,279,7,1953,FALSE,TRUE,2,0.0130047036557397,4,FALSE
"41",2.8177275,0.7812388,0.0398643,0.925806,1.73307,0.960121,0.00653403,1.201104,0.5408535,0.3267743,0.0233397,1.523492,2.78717,0.8368405,0.0224396,1.623404,1.7254475,0.7918816,0.074727,1.211062,2.041755,0.6538038,0.00669513,0.896408,0.6480062,0.919312628161017,0.78657001887304,0.959694215926372,0.0650278010907647,0.565434610044811,0.275383252111804,0.565434610044811,0.0560529226009478,0,138889.182079999,0.00202126,65481090.2533626,1e-04,1,0.246187925338745,343.999222278595,"1_280_2",1,280,2,1955,FALSE,TRUE,1,0.013565091925006,5,TRUE
"42",2.8836675,0.9268724,0.0248274,0.922606,1.5610475,0.8223617,0.0112841,1.094788,0.529589,0.4586732,0.034243,1.494288,2.7877675,0.9230175,0.00417097,1.29587,1.2889525,0.8239745,0.0761412,1.207422,2.0519925,0.6451161,0.00692914,0.928474,0.6464825,0.914449047727659,0.772741492039293,0.954313995408333,0.0671151782404949,0.580394678346225,0.309425918059923,0.580394678346225,0.0582216811286307,0,173539.619273625,0.00255048,65481090.2533626,1e-04,1,0.202374935150146,344.220212221146,"1_280_3",1,280,3,1956,FALSE,TRUE,5,0.0170097483938058,3,FALSE
"43",2.5867375,0.9334321,0.0163595,1.011282,1.49432,0.5527497,0.0137595,1.18257,0.524026225,0.3948451,0.0275061,1.512586,2.828145,0.9035288,0.0230392,1.53531,1.0150125,0.9853518,0.0876867,1.166048,2.12975,0.6308767,0.00569382,0.83351,0.6434561,0.920502156456341,0.779346980407888,0.961939364327928,0.0646972763475883,0.571897612805723,0.28242498692686,0.571897612805723,0.0689969475409064,0,129600.963531404,0.0018794,65481090.2533626,1e-04,1,0.163275003433228,344.394413232803,"1_280_4",1,280,4,1957,FALSE,TRUE,4,0.0161665468914207,3,FALSE
"44",2.9837825,0.7549538,0.0314088,1.03817,1.8995675,0.9730857,0.00418802,1.51299,0.52601775,0.3821618,0.0270679,1.522492,2.8078475,0.9228649,0.00783517,1.203696,1.411925,0.7539178,0.075822,1.21678,2.05896,0.6444945,0.00626267,0.88435,0.6484175,0.918360924751813,0.788106025568845,0.958778333736463,0.0654101766590381,0.563396284383822,0.278494491115759,0.563396284383822,0.0781207958015301,0,147841.516227395,0.00215799,65481090.2533626,1e-04,1,0.162457227706909,344.883832216263,"1_280_7",1,280,7,1960,FALSE,TRUE,2,0.0174001750115293,5,FALSE
"45",2.78559,0.8593966,0.0582019,0.466612,1.540905,0.9037192,0.0184315,1.406856,0.54698225,0.31834091,0.0216145,1.507954,2.7649975,0.8411147,0.0224974,1.612418,2.0818875,0.9122844,0.0772178,1.22606,2.069825,0.6416091,0.00491265,0.928946,0.6416432,0.927620159055202,0.780333757242898,0.946926940067109,0.0617329649548208,0.579748048984644,0.315809606646896,0.579748048984644,0.0405949334995156,0,90225.8833766421,0.00127802,65481090.2533626,1e-04,1,0.177840948104858,345.092017173767,"1_281_1",1,281,1,1961,FALSE,TRUE,4,0.0157572362909036,4,FALSE
"46",2.8956475,0.8198389,0.0527704,0.65712,2.03347,0.9078793,0.0108084,1.480092,0.501088265,0.4451247,0.0306133,1.524616,2.8395275,0.8893727,0.00231435,1.663358,0.9149975,0.9288436,0.0743844,1.20498,2.0457,0.6487617,0.00456676,1.02003,0.642956,0.927153874466514,0.786579947288263,0.932979558695132,0.0619314934312479,0.571446064768797,0.354888490218143,0.571446064768797,0.0544894073049089,0,117192.228304209,0.00168988,65481090.2533626,1e-04,1,0.214941024780273,345.320866107941,"1_281_2",1,281,2,1962,FALSE,TRUE,2,0.0214523534022103,3,FALSE
"47",2.88609,0.743709,0.0300308,1.052618,1.90242,0.981576,0.00661452,1.417238,0.530881,0.33658508,0.0227616,1.545452,2.82587,0.8292651,0.0371783,1.748464,1.19003,0.820401,0.0811444,1.175486,2.09897,0.6421201,0.00624949,0.802938,0.6523352,0.914616763798154,0.780319872476704,0.950282895528438,0.0668932951061575,0.573654045947046,0.305848779018522,0.573654045947046,0.0600142881503682,0,170112.026992369,0.00249813,65481090.2533626,1e-04,1,0.168546915054321,345.499425172806,"1_281_3",1,281,3,1963,FALSE,TRUE,3,0.0168923719410786,2,FALSE
"48",2.7831075,0.7064851,0.0229637,0.909014,1.82488,0.9772059,0.00564003,1.427328,0.52223245,0.4337098,0.0322038,1.51068,2.84653,0.9350211,0.0177261,1.479698,0.58993675,0.9627908,0.0857041,1.154692,2.11357,0.6345314,0.0058051,0.87692,0.6478235,0.917035921567079,0.787790417478457,0.957962613527932,0.0659388442041451,0.563815707031305,0.281236504305548,0.563815707031305,0.113063977381147,0,149473.141817631,0.00218291,65481090.2533626,1e-04,1,0.14855694770813,346.01761007309,"1_281_6",1,281,6,1966,FALSE,TRUE,5,0.0238459742001668,5,FALSE
"49",2.935665,0.7936204,0.0262438,1.128744,1.6929275,0.9562829,0.00673206,1.152998,0.5459045,0.36393373,0.0227407,1.509126,2.752,0.813793,0.0288126,1.666218,2.14011,0.9743513,0.0799319,1.18565,2.0787775,0.6424988,0.00510591,0.924014,0.6457427,0.922467860137423,0.783865828196035,0.961950659178918,0.0638924010626116,0.566011251376251,0.282383077684098,0.566011251376251,0.107987649636604,0,121449.383034434,0.0017549,65481090.2533626,1e-04,1,0.174931049346924,346.768019199371,"1_282_3",1,282,3,1970,FALSE,TRUE,5,0.0229680305253747,5,FALSE
"50",2.6438025,0.7277315,0.0484872,0.953256,1.655655,0.9252708,0.0116408,1.100298,0.557632,0.3315336,0.0195598,1.516752,2.753565,0.8611522,0.0120871,1.633158,1.5062,0.9990935,0.0819334,1.157378,2.0153075,0.6611412,0.00707112,0.915432,0.6484787,0.921679754317168,0.785178693575988,0.953521401938711,0.0640668401028815,0.567274617543893,0.295719761567307,0.567274617543893,0.0708055173312662,0,127152.870400627,0.00184201,65481090.2533626,1e-04,1,0.155757904052734,346.933412075043,"1_282_4",1,282,4,1971,FALSE,TRUE,3,0.0175227550256075,3,FALSE
"51",2.86855,0.8428136,0.0452664,0.602724,1.71673,0.9684944,0.00726667,1.188772,0.53210325,0.394927,0.0281809,1.505854,2.8062175,0.8938324,0.00546742,1.54107,1.3430025,0.9291495,0.0800857,1.215098,2.088245,0.6407537,0.00642907,0.93933,0.6432275,0.919922255338417,0.784511814134138,0.944662681950966,0.064932816397075,0.574208169882432,0.322475946708416,0.574208169882432,0.0564563224269041,0,137885.457348927,0.00200593,65481090.2533626,1e-04,1,0.243844032287598,347.544882297516,"1_282_7",1,282,7,1974,FALSE,TRUE,3,0.0181262167880783,3,FALSE
"52",2.924215,0.7826808,0.0573269,0.73294,1.5733125,0.805792,0.0260977,0.904718,0.55656225,0.35727827,0.0240804,1.493472,2.7599625,0.883471,0.000715805,1.555972,1.9556125,0.8812457,0.0745668,1.224134,2.048835,0.6446072,0.00492822,0.84862,0.6435896,0.92989649423704,0.78024365996568,0.960625023857959,0.0607544638050119,0.570734404291618,0.287260062378577,0.570734404291618,0.0768618258031142,0,109554.622963072,0.00157323,65481090.2533626,1e-04,1,0.170403003692627,347.946035146713,"1_283_2",1,283,2,1976,FALSE,TRUE,5,0.0178155844380221,3,FALSE
"53",2.60151,0.7526816,0.04726,1.066262,1.761935,0.9986896,0.00540004,1.213682,0.554318,0.33936163,0.0180332,1.513496,2.7709325,0.9188791,0.00306993,1.267606,0.9899275,0.8162318,0.0808171,1.215584,2.0954525,0.6356234,0.00622931,0.897926,0.6524723,0.919214746455599,0.787257080506114,0.956901180127801,0.0650672316902691,0.564523768984152,0.284764945474401,0.564523768984152,0.08591026049106,0,152574.016133587,0.00223027,65481090.2533626,1e-04,1,0.191703081130981,348.399125099182,"1_283_4",1,283,4,1978,FALSE,TRUE,4,0.019165550618148,5,FALSE
"54",2.749495,0.7418043,0.0405399,1.036906,1.639175,0.9318186,0.00412032,1.306326,0.5326005,0.34931472,0.0251555,1.512104,2.8144775,0.8914139,0.023315,1.671502,1.2485525,0.8125365,0.0808298,1.215158,2.0300675,0.6556616,0.00678895,0.92538,0.6492335,0.920207772828667,0.787594612549974,0.960344916826138,0.0646660862825785,0.564075762300016,0.273151298860079,0.564075762300016,0.0569877595873786,0,134002.162254346,0.00194662,65481090.2533626,1e-04,1,0.163447856903076,349.426653146744,"1_284_3",1,284,3,1984,FALSE,TRUE,1,0.0135244627280814,5,FALSE
"55",2.7211725,0.7831239,0.03994,0.94962,1.4770175,0.5211888,0.0133809,1.363306,0.53465825,0.36944546,0.026078,1.499296,2.72826,0.8540535,0.00518625,1.463352,2.5533775,0.9137754,0.0724769,1.234958,2.043895,0.643336,0.00713267,0.892288,0.6501245,0.916098893135065,0.765579973499836,0.948896843975669,0.0663101681005892,0.592586877896755,0.310082815314394,0.592586877896755,0.0393988266794691,0,167136.209051909,0.00245268,65481090.2533626,1e-04,1,0.185111045837402,350.376893281937,"1_285_1",1,285,1,1989,FALSE,TRUE,3,0.014999490775184,3,FALSE
"56",2.9837825,0.73449,0.0579183,0.914376,1.51244,0.8222035,0.0243246,0.830492,0.568972,0.31070573,0.0200769,1.493048,2.7281075,0.8566442,0.0106023,1.377806,2.614905,0.5904811,0.0629833,1.279526,1.9800325,0.6606638,0.00584965,1.031242,0.6511658,0.925924862390097,0.780127236753933,0.953500856628908,0.0623063796729451,0.573905507124058,0.295785114042429,0.573905507124058,0.0402801058814587,0,103324.065532617,0.00147807,65481090.2533626,1e-04,1,0.169965982437134,350.557754278183,"1_285_2",1,285,2,1990,FALSE,TRUE,1,0.0134992905803424,4,FALSE
"57",2.849085,0.7524702,0.0667684,0.456668,1.6734675,0.9833204,0.0132946,1.406856,0.54698225,0.31834091,0.0216145,1.50034,2.70906,0.7968145,0.0224974,1.612418,2.0818875,0.9122844,0.0772178,1.22606,2.069825,0.6416091,0.00491265,0.928946,0.6416432,0.927373773647229,0.78372692563061,0.943951032291346,0.0618379470845993,0.575252959740107,0.324542877218019,0.575252959740107,0.0389478483184881,0,90225.8833766421,0.00127802,65481090.2533626,1e-04,1,0.166543960571289,350.73451423645,"1_285_3",1,285,3,1991,FALSE,TRUE,2,0.0166178033826224,4,FALSE
"58",2.877025,0.7580632,0.0483794,1.011636,1.7214025,0.7379487,0.00440895,1.40966,0.55466425,0.4130794,0.0254182,1.506828,2.78997,0.8451593,0.0156324,1.572266,0.56769675,0.9730703,0.0891008,1.09654,2.1229075,0.6380034,0.00691871,0.84239,0.653981,0.911212151153729,0.775278480527256,0.94741557356046,0.0681481312021823,0.57561532850849,0.297228035324572,0.57561532850849,0.0586081670666062,0,192645.090671343,0.00284228,65481090.2533626,1e-04,1,0.152275085449219,351.088014125824,"1_285_5",1,285,5,1993,FALSE,TRUE,4,0.0158832730339634,5,FALSE
"59",2.7705375,0.7508539,0.0454108,0.915948,1.65366,0.9287337,0.00536942,1.484912,0.53627925,0.33959564,0.0231618,1.519708,2.807375,0.8797736,0.0237557,1.587626,1.4492925,0.8358983,0.0796712,1.213472,2.0384825,0.6532242,0.00649163,0.919894,0.6479222,0.921311838405708,0.787318594544911,0.961771189968766,0.0642171434667268,0.564442147824409,0.268194104744866,0.564442147824409,0.0640875965149059,0,127658.333865981,0.00184973,65481090.2533626,1e-04,1,0.153527975082397,351.250701189041,"1_285_6",1,285,6,1994,FALSE,TRUE,2,0.0142963327184943,5,FALSE
"60",2.7831075,0.7064851,0.0229637,0.909014,1.82488,0.9772059,0.00564003,1.427328,0.52223245,0.4337098,0.0322038,1.51068,2.8317375,0.9082272,0.00210932,1.542968,0.8958525,0.9627908,0.0857041,1.154692,2.11357,0.6345314,0.00717073,0.87692,0.6478235,0.92203219462268,0.792445895284624,0.958323675237579,0.0639225275055189,0.55759688422611,0.280026120830364,0.55759688422611,0.106138717007488,0,149473.141817631,0.00218291,65481090.2533626,1e-04,1,0.15002703666687,351.616363286972,"1_286_1",1,286,1,1996,FALSE,TRUE,3,0.0224998788777142,NA,NA
"61",2.79432,0.6842251,0.0597918,1.128744,1.6929275,0.9562829,0.00673206,1.152998,0.5459045,0.36393373,0.0227407,1.509126,2.752,0.813793,0.0288126,1.666218,2.14011,0.9743513,0.0677503,1.275376,1.9646575,0.6663184,0.00617721,1.026674,0.6512834,0.926079059659302,0.785850978672018,0.958358409281185,0.0622414963738412,0.566386276624047,0.279909406281352,0.566386276624047,0.0925483804282572,0,97791.4667214203,0.00139357,65481090.2533626,1e-04,1,0.160664081573486,352.271403074265,"1_286_5",1,286,5,2000,FALSE,TRUE,5,0.0200227992182988,1,FALSE
"62",2.8342525,0.7537379,0.0675686,0.812506,1.3694,0.7400795,0.0345114,0.71003,0.57943875,0.32232153,0.0209672,1.472494,2.6950575,0.8667844,0.00520092,1.633158,1.5062,0.9990935,0.0819334,1.157378,1.96599,0.6598399,0.00480336,1.14439,0.6475499,0.929870539873194,0.788075912143571,0.96298217524526,0.0606242713121632,0.563436316643404,0.263912089360842,0.563436316643404,0.0814648238213122,0,77977.560777701,0.00109095,65481090.2533626,1e-04,1,0.198596000671387,352.485696077347,"1_286_6",1,286,6,2001,FALSE,TRUE,3,0.017085803586913,3,FALSE
"63",1.6292675,0.6648771,0.0372831,1.593496,1.61388,0.4976541,0.0448083,1.469516,0.503262275,0.7663022,0.0223099,1.25136,2.80692,0.5617713,0.0434588,1.51949,1.8318975,0.31513148,0.0474456,1.494108,2.4188025,0.6199994,0.0454709,1.442534,0.5780405,0.906034262908336,0.856340221944934,0.800500020004999,0.0638206761526219,0.543692182044833,0.733833671949708,0.543692182044833,0.145398102944204,0,145386.875642403,0.0021205,65481090.2533626,1e-04,1,0.155879020690918,302.773108005524,"2_236_5",2,236,5,1650,TRUE,TRUE,5,0.0728147128651991,7,FALSE
"64",1.4072275,0.6716412,0.0369521,1.390334,1.6764325,0.7239522,0.0163028,1.242724,0.5857365,0.35829201,0.0276618,1.055368,2.9974475,0.5273747,0.0210217,1.457858,1.7248725,0.4934709,0.0540742,1.582876,2.29868,0.582625,0.0109373,0.912596,0.5397662,0.926971474260395,0.869370988697448,0.874237502852915,0.0567849495809872,0.459490843377617,0.608201483257242,0.459490843377617,0.275083057998159,0,50323.3403103658,0.000668584,65481090.2533626,1e-04,1,0.174772024154663,339.906960010529,"2_268_6",2,268,6,1875,TRUE,TRUE,3,0.0749422906678757,8,TRUE
"65",2.143275,0.5982084,0.0471147,1.337828,1.81791,0.9432146,0.0138063,1.099452,0.71067025,0.6504508,0.0375901,1.2254,2.7128775,0.3768005,0.0481085,1.579652,1.9409825,0.8247137,0.0580074,1.464468,2.8098875,0.5865989,0.00708802,1.098324,0.797612,0.883806394646255,0.861395191331263,0.645927191793925,0.0755372231224893,0.459452884150559,0.614604679618799,0.459452884150559,0.156289868748887,0,338663.140834537,0.00507243,65481090.2533626,1e-04,1,0.144177198410034,341.214681148529,"2_269_7",2,269,7,1883,TRUE,TRUE,2,0.0602904722828446,2,FALSE
"66",1.4072275,0.6716412,0.0369521,1.390334,1.6764325,0.7239522,0.0163028,1.242724,0.5857365,0.35829201,0.0276618,1.055368,2.9974475,0.5273747,0.0114066,1.457858,1.7248725,0.4934709,0.0540742,1.582876,2.29868,0.582625,0.0109373,0.912596,0.5397662,0.926971474260395,0.869370988697448,0.874237502852915,0.0567849495809872,0.459490843377617,0.608201483257242,0.459490843377617,0.275083057998159,0,50323.3403103658,0.000668584,65481090.2533626,1e-04,1,0.143833160400391,344.746011018753,"2_273_1",2,273,1,1905,TRUE,TRUE,3,0.0749422906678757,NA,NA
"67",1.4072275,0.6716412,0.0369521,1.390334,1.6764325,0.7239522,0.0163028,1.242724,0.7061865,0.5134552,0.0316743,1.032898,2.9974475,0.5273747,0.0210217,1.457858,1.7248725,0.4934709,0.0540742,1.582876,2.29868,0.582625,0.0109373,0.912596,0.5397662,0.926941109613795,0.869712352830333,0.874355232679123,0.0567967537062472,0.458890072156487,0.607916739307732,0.458890072156487,0.377054917070635,0,50323.3403103658,0.000668584,65481090.2533626,1e-04,1,0.147899866104126,349.559359073639,"2_277_3",2,277,3,1935,TRUE,TRUE,3,0.0912100831080942,8,FALSE
"68",1.4072275,0.6716412,0.0369521,1.390334,1.864295,0.8964133,0.0154025,1.242724,0.7061865,0.5134552,0.0316743,1.032898,2.9974475,0.5273747,0.0210217,1.457858,1.7248725,0.4934709,0.0540742,1.582876,2.29868,0.582625,0.0109373,0.912596,0.5397662,0.926950781864194,0.87098086055196,0.874189424694819,0.0567929939269505,0.456650683282171,0.608317727819749,0.456650683282171,0.375034946005351,0,50323.3403103658,0.000668584,65481090.2533626,1e-04,1,0.144906044006348,354.402579069138,"2_281_5",2,281,5,1965,TRUE,TRUE,2,0.0908981985102164,8,FALSE
"69",2.143275,0.5982084,0.0471147,1.337828,1.81791,0.9432146,0.0138063,1.099452,0.71067025,0.6504508,0.0493219,1.454828,2.98512,0.4812293,0.0441901,1.666552,1.8520075,0.8531085,0.0781515,1.761974,2.8863925,0.5865989,0.00708802,1.098324,0.797612,0.882528257157601,0.865355500554096,0.657530667983637,0.075951544121218,0.452841417655391,0.604450050612542,0.452841417655391,0.135304935818703,0,338663.140834537,0.00507243,65481090.2533626,1e-04,1,0.146944999694824,355.688977003098,"2_282_6",2,282,6,1973,TRUE,TRUE,1,0.0570947732681044,2,FALSE
"70",2.178375,0.8997131,0.0368986,1.481746,2.3912525,0.7331159,0.0160679,0.307726,0.52450705,0.6881381,0.0351258,0.988596,2.5987075,0.4449133,0.00703365,1.01498,2.3797225,0.8941215,0.0792253,0.570856,1.9816725,0.8475715,0.0268728,1.426282,0.5778107,0.928612164430487,0.889749676594582,0.856701328013456,0.0556273979852626,0.476294348765801,0.621938282567653,0.476294348765801,0.213822880078927,0,8969.48854291814,3.6982e-05,65481090.2533626,1e-04,1,0.159454107284546,204.284563064575,"3_177_4",3,177,4,1236,TRUE,TRUE,4,0.0677218766469314,6,FALSE
